"paper_id","forward_backward","screener_initials","include_exclude","inconclusive_note","exclude_t0_calcofi_report","exclude_t1_not_marine_species","exclude_t2_outdated_pre1900","exclude_t3_not_poleward","exclude_t3_not_in_BC_CA_OR_WA","exclude_t4_not_in_temperate_enpacific","latin_name","species_reference","common_name","taxonomic_rank","life_stage_verbatim","observation_location_verbatim","latitude_verbatim","longitude_verbatim","latitude","latitude_reference","longitude","longitude_reference","year","month","day","time","historical_north_range_verbatim_archived","historical_north_range_reference_archived","screening_notes","extension_confidence_criteria","NA"
16,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
17,"Forwards","BGL","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
18,"Forwards","EJW","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
19,"Forwards","EJW","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
20,"Forwards","TVT","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
21,"Forwards","JKS","Exclude","These are in Gulf of California only - JKS",NA,NA,NA,"",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
22,"Forwards","BGL","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
23,"Forwards","TVT","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
24,"Forwards","TVT","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
25,"Forwards","TVT","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
26,"Forwards","TVT","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
27,"Forwards","TVT","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
28,"Forwards","TVT","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
29,"Forwards","EJW","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
30,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
31,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
32,"Forwards","JKS","Inconclusive","No year of observation",NA,NA,NA,"",NA,"","Atlanta oligogyra","Tesch, 1906","","Species","shell","~ 31 degrees north (IPN-CICIMAR, BIPOCO1407 sta. 103.3.40; 30 degrees 46' 51.5634""N, 117 degrees 4' 40.8""W","30 degrees 46' 51.5634""N","117 degrees 4' 40.8""W",NA,"","","","","","",NA,"northernmost records in the east Pacific for this species before this study was in the Gulf of Tehuantepec (Moreno-Alcantara et al. 2014) and Gulf of California (Angulo-Campillo et al. 2011), Mexico., Cosmopolitan in tropical to subtropical waters, to 31 degrees north in the Pacific. Common to abundant.","Moreno-Alcantara et al. 2014. Holoplanktonic molluscs (Gastropoda: Pterotracheoidea, Thecosomata and Gymnosomata) from the southern Mexican Pacific. Journal of Molluscan Studies, 80, 131-138., Angulo-Campillo et al. 2011. Holoplanktonic mollusks (Mollusca: Gastropoda) from the Gulf of California, Mexico, Check List, 7, 337-342.","","","Exclude"
32,"Forwards","JKS","Inconclusive","No year of observation",NA,NA,NA,"",NA,"","Protatlanta souleyeti","Smith, 1888","","Species","shell","the specimen used to determine this range extension was recorded off Oregon, USA (USNM 331110). Several specimens were observed in samples from off Baja California Peninsula (IPN-CICIMAR BIPOCO1407 cruise","","",NA,"","","","","","",NA,"northernmost records in the east Pacific for this species before this study was in the Gulf of tehuantepec (Moreno-Alcantara et al. 2014) and Gulf of California (angulo-Campillo et al. 2011), Mexico. Cosmopolitan in tropical to subtropical waters, to ~46 degrees N, in the east Pacific. Uncommon.","Moreno-Alcantara et al. 2014. Angulo-Campillo et al. 2011.","","","Inconclusive"
33,"Forwards","EJW","Inconclusive","can't find paper; I think the data was included in sanford et al 2019 - JKS",NA,NA,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Inconclusive"
34,"Forwards","EJW","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
35,"Forwards","EJW","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
36,"Forwards","EJW","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
37,"Forwards","EJW","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","While this paper says that poleward expansions have possibly occured in the distributions of the species it covers, it also discusses that these are rarely observed species found to be spreading/introduced throughout the world's oceans and that some of the species previously believed to be invasives from elsewhere are in fact endemic species that were previously undiscribed, I would leave this paper out because it is underterminable from the evidence provided in this paper whether any true range extension into or out of California has occured. ","","Exclude"
38,"Forwards","EJW","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
39,"Forwards","EJW","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
40,"Forwards","AF","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
41,"Forwards","AF","Inconclusive","Cites Pearcy 2002 as ref for range shift; use that paper instead",NA,NA,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Inconclusive"
42,"Forwards","AF","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
43,"Forwards","AF","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
44,"Forwards","AF","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
45,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
46,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","La Jolla","31.87","",31.87,"Paper","","","1957","June-July, October, December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper","","","1958","April","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","San Pedro","33.8","",33.8,"Paper","","","1959","January-March, December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper","","","1960","January ","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper","","","1969","December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper","","","1970","January-March ","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper","","","1972","December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper","","","1973","January-March ","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Santa Cruz Island","34","",34,"Paper","","","1979","April","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Point Dume","34","",34,"Paper","","","1980","February","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper","","","1982","December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper","","","1983","July","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper","","","1983","July","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Duxbury Reef","37.902138","",37.902138,"Paper","","","1985","January","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey Bay","36.6","",36.6,"Paper","","","1997","","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
47,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","off California","","",32.55,"Google Maps","","","2002","","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site","Include"
48,"Forwards","JKS","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
49,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
50,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
51,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
52,"Forwards","EJW","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
53,"Forwards","EJW","Exclude","see screening note",NA,NA,NA,"TRUE",TRUE,"","Neanthes micromma","Harper 1979","","Species","","Gulf of Nicoya, subtidal: STA 2; 9º55'28"" N, 84º52'05"" W, 18 m, muddy sand, Jan. 1980 (1); STA 4; 9º53'40"" N, 84º46'10"" W, 40 m, mud, Jul. 1980 (1); STA 24; 9º49'25"" N, 84º41'20"" W, 11 m, sand, Oct. 1980 (12), Jan. 1981 (2), Apr. 1981 (2), Jun. 1981 (2), Aug. 1981 (3), Dec. 1993 (3); STA 27; 9º51'57"" N, 84º50'50"" W, 12 m, muddy sand, Jul. 1980 (1); STA 28; 9º52'16"" N, 84º45'30"" W, 26 m, mud, Aug. 1981 (1), Apr. 1982 (1); STA 29; 9º54'55"" N, 84º45'15"" W, 18 m, muddy sand, Aug. 1981 (1); STA 30; 9º54'40"" N, 84º45'50"" W, 18 m, muddy sand, Oct. 1980 (2); STA 44; 9º59'17"" N, 84º54'25"" W, 24m, muddy sand, Jul. 1980 (1). Intertidal: Punta Morales, 10º N; 84º58' W, north side; intertidal mud, Sep. 1988 (1), Jul. 1997 (19); intertidal sand Jul. 1997 (9); man-grove roots, Jan. 1996 (1): Punta Morales, south side; mid-intertidal muddy sand Jun. 1983 (1), Jun. 1986 (1); Lagartos Point, fine sand Sep. 1988 (1); soupy mud Jul. 1997 (10); Algal mat, tidal pool, Sep. 1988 (1). Golfo Dulce, Intertidal: Golfito, mid-intertidal mud Sep. 1986 (1).","9º57'30"" N","84º53'00"" W",NA,"","","","1980-1986","","",NA,"known from the Gulf of Mexico on muddy sand and silt-clay sediments at depths of 10-50 meters and from the Gulf of California from fine and silty sands at 28-79 m. This species was collected intertidally in Costa Rica","","southward range extension not northward!!!, also another species was observed for the first time near here but it was only the seccond time the species had been recorded so hard to say anything about its range","","Exclude"
54,"Forwards","EJW","Exclude","",NA,NA,NA,"TRUE",TRUE,"TRUE","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
55,"Forwards","EJW","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
56,"Forwards","EJW","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
57,"Forwards","EJW","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
58,"Forwards","EJW","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
59,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
60,"Forwards","EJW","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
61,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
62,"Forwards","JKS","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
63,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
64,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
65,"Forwards","JKS","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
66,"Forwards","BGL","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
67,"Forwards","BGL","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
68,"Forwards","BGL","Exclude","",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
69,"Forwards","BGL","Exclude","",NA,NA,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
70,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Tomales Point","38°14′N","",38.2333,"Paper","","","1948","June","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Shell Beach","38°25′N","",38.4167,"Paper","","","1957","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Shell Beach","38°25′N","",38.4167,"Paper","","","1970","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Saunder's Reef, CA","38°52′N","",38.8667,"Paper","","","1984","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper","","","1995","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper","","","1996","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper","","","2005","spring","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","JKS","Include","",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Burn Hill, OR","42° 23′N","",42.3833,"Paper","","","2007","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
71,"Forwards","BGL","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
72,"Forwards","BGL","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
73,"Forwards","BGL","Include","Baja only - JKS",NA,NA,NA,"",NA,"","Atlanta Brunnea","","","species","","Mexican Pacific off the BCP","32º N","110° 00′- 122° 00’ W",32,"Paper figure","-118.5","Paper figure","2015","September","",NA,"equitorial and south pacific ocean","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2011","","Opportunistic","Exclude"
73,"Forwards","BGL","Include","Baja only - JKS",NA,NA,NA,"",NA,"","Atlanta echinogyra","","","species","","Mexican Pacific off the BCP","24º N","110° 00′- 122° 00’ W",24,"Paper figure","-115","Paper figure","2015","September","",NA,"Indo-pacific ","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2012","","Opportunistic","Exclude"
73,"Forwards","BGL","Include","Baja only - JKS",NA,NA,NA,"",NA,"","Atlanta frontieri","","","species","","Mexican Pacific off the BCP","26º N","110° 00′- 122° 00’ W",26,"Paper figure","-113","Paper figure","2015","September","",NA,"western pacific and indian ocean and equitorial/tropical southeast pacific, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2013","","Opportunistic","Exclude"
73,"Forwards","BGL","Include","Baja only - JKS",NA,NA,NA,"",NA,"","Atlanta gibbosa","","","species","","Mexican Pacific off the BCP","24º N","110° 00′- 122° 00’ W",24,"Paper figure","-115","Paper figure","2015","September","",NA,"equitorial and tropical zones, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2014","","Opportunistic","Exclude"
73,"Forwards","BGL","Include","Baja only - JKS",NA,NA,NA,"",NA,"","Atlanta helicinoidea","","","species","","Mexican Pacific off the BCP","32º N","110° 00′- 122° 00’ W",32,"Paper figure","-117","Paper figure","2015","September","",NA,"equitorial and tropical-subtropical zones, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2015","","Opportunistic","Exclude"
73,"Forwards","BGL","Include","Baja only - JKS",NA,NA,NA,"",NA,"","Atlanta plana","","","species","","Mexican Pacific off the BCP","24.5ºN","110° 00′- 122° 00’ W",24.5,"Paper figure","-112.5","Paper figure","2015","September","",NA,"eastern pacfic and indian ocean and central pacific ocean, used same source as above","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2016","","Opportunistic","Exclude"
73,"Forwards","BGL","Include","Baja only - JKS",NA,NA,NA,"",NA,"","Atlanta tokiokai","","","species","","Mexican Pacific off the BCP","26ºN","110° 00′- 122° 00’ W",26,"Paper figure","-113","Paper figure","2015","September","",NA,"tropical and subtropical waters globally","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2017","","Opportunistic","Exclude"
73,"Forwards","BGL","Include","Baja only - JKS",NA,NA,NA,"",NA,"","Oxygyrus inflatus","","","species","","Mexican Pacific off the BCP","25.5ºN","110° 00′- 122° 00’ W",25.5,"Paper figure","-115","Paper figure","2015","September","",NA,"tropical and subtropical waters globally","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2018","","Opportunistic","Exclude"
74,"Forwards","JKS","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
75,"Forwards","BGL","Exclude","",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
76,"Forwards","BGL","Exclude","",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
77,"Forwards","AF","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
78,"Forwards","AF","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","This paper is really relevant generally (and I know Jordana has read it) but does hydrodynamic modeling of transport only; there is no biological data reported. ","","Exclude"
79,"Forwards","AF","Exclude","",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"","","","","","",NA,"","","","","Exclude"
