"paper_id","forward_backward","include_exclude","exclude_t0_calcofi_report","exclude_t1_not_marine_species","exclude_t2_outdated_pre1900","exclude_t3_not_poleward","exclude_t3_not_in_BC_CA_OR_WA","exclude_t4_not_in_temperate_enpacific","latin_name","species_reference","common_name","taxonomic_rank","life_stage_verbatim","observation_location_verbatim","latitude_verbatim","longitude_verbatim","latitude","latitude_reference","longitude","longitude_reference","year","month","day","time","historical_north_range_verbatim_archived","historical_north_range_reference_archived","extension_confidence_criteria","NA."
13,"Forwards","Include",NA,NA,NA,"",NA,"","Portunus xantusii","","Xantus Swimming Crab","Species","adult","Tomales Bay, CA","38°13'42.1""N","122°58'18.2""W",38.22836,"Paper",-122.97186,"Paper","2016","11","22",NA,"370 km northward range expansion","","Long-term monitoring site","Include"
14,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
15,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
16,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
17,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
18,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
19,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
20,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
21,"Forwards","Exclude",NA,NA,NA,"",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
22,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
23,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
24,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
25,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
26,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
27,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
28,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
29,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
30,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
31,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
32,"Forwards","Inconclusive",NA,NA,NA,"",NA,"","Atlanta oligogyra","Tesch, 1906","","Species","shell","~ 31 degrees north (IPN-CICIMAR, BIPOCO1407 sta. 103.3.40; 30 degrees 46' 51.5634""N, 117 degrees 4' 40.8""W","30 degrees 46' 51.5634""N","117 degrees 4' 40.8""W",NA,"",NA,"","","","",NA,"northernmost records in the east Pacific for this species before this study was in the Gulf of Tehuantepec (Moreno-Alcantara et al. 2014) and Gulf of California (Angulo-Campillo et al. 2011), Mexico., Cosmopolitan in tropical to subtropical waters, to 31 degrees north in the Pacific. Common to abundant.","Moreno-Alcantara et al. 2014. Holoplanktonic molluscs (Gastropoda: Pterotracheoidea, Thecosomata and Gymnosomata) from the southern Mexican Pacific. Journal of Molluscan Studies, 80, 131-138., Angulo-Campillo et al. 2011. Holoplanktonic mollusks (Mollusca: Gastropoda) from the Gulf of California, Mexico, Check List, 7, 337-342.","","Exclude"
32,"Forwards","Inconclusive",NA,NA,NA,"",NA,"","Protatlanta souleyeti","Smith, 1888","","Species","shell","the specimen used to determine this range extension was recorded off Oregon, USA (USNM 331110). Several specimens were observed in samples from off Baja California Peninsula (IPN-CICIMAR BIPOCO1407 cruise","","",NA,"",NA,"","","","",NA,"northernmost records in the east Pacific for this species before this study was in the Gulf of tehuantepec (Moreno-Alcantara et al. 2014) and Gulf of California (angulo-Campillo et al. 2011), Mexico. Cosmopolitan in tropical to subtropical waters, to ~46 degrees N, in the east Pacific. Uncommon.","Moreno-Alcantara et al. 2014. Angulo-Campillo et al. 2011.","","Inconclusive"
33,"Forwards","Inconclusive",NA,NA,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Inconclusive"
34,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
35,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
36,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
37,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
38,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
39,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
40,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
41,"Forwards","Inconclusive",NA,NA,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Inconclusive"
42,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
43,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
44,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
45,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
46,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","La Jolla","31.87","",31.87,"Paper",-114.920613833209,"R generated","1957","June-July, October, December","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1958","April","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","San Pedro","33.8","",33.8,"Paper",-118.405260650672,"R generated","1959","January-March, December","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1960","January ","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1969","December","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1970","January-March ","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1972","December","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1973","January-March ","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Santa Cruz Island","34","",34,"Paper",-120.247171429253,"R generated","1979","April","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Point Dume","34","",34,"Paper",-120.247171429253,"R generated","1980","February","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper",-119.566956960394,"R generated","1982","December","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper",-119.566956960394,"R generated","1983","July","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper",-119.566956960394,"R generated","1983","July","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Duxbury Reef","37.902138","",37.902138,"Paper",-122.722987753551,"R generated","1985","January","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","Monterey Bay","36.6","",36.6,"Paper",-121.964029292987,"R generated","1997","","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
47,"Forwards","Include",NA,NA,NA,"",NA,"","Pleuroncodes planipes","","pelagic red crab","Species","","off California","","",32.55,"Google Maps",-117.128359408246,"R generated","2002","","",NA,"southwest coast of the Baja California peninsula","","Long-term monitoring site","Include"
48,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
49,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
50,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
51,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
52,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
53,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","Neanthes micromma","Harper 1979","","Species","","Gulf of Nicoya, subtidal: STA 2; 9º55'28"" N, 84º52'05"" W, 18 m, muddy sand, Jan. 1980 (1); STA 4; 9º53'40"" N, 84º46'10"" W, 40 m, mud, Jul. 1980 (1); STA 24; 9º49'25"" N, 84º41'20"" W, 11 m, sand, Oct. 1980 (12), Jan. 1981 (2), Apr. 1981 (2), Jun. 1981 (2), Aug. 1981 (3), Dec. 1993 (3); STA 27; 9º51'57"" N, 84º50'50"" W, 12 m, muddy sand, Jul. 1980 (1); STA 28; 9º52'16"" N, 84º45'30"" W, 26 m, mud, Aug. 1981 (1), Apr. 1982 (1); STA 29; 9º54'55"" N, 84º45'15"" W, 18 m, muddy sand, Aug. 1981 (1); STA 30; 9º54'40"" N, 84º45'50"" W, 18 m, muddy sand, Oct. 1980 (2); STA 44; 9º59'17"" N, 84º54'25"" W, 24m, muddy sand, Jul. 1980 (1). Intertidal: Punta Morales, 10º N; 84º58' W, north side; intertidal mud, Sep. 1988 (1), Jul. 1997 (19); intertidal sand Jul. 1997 (9); man-grove roots, Jan. 1996 (1): Punta Morales, south side; mid-intertidal muddy sand Jun. 1983 (1), Jun. 1986 (1); Lagartos Point, fine sand Sep. 1988 (1); soupy mud Jul. 1997 (10); Algal mat, tidal pool, Sep. 1988 (1). Golfo Dulce, Intertidal: Golfito, mid-intertidal mud Sep. 1986 (1).","9º57'30"" N","84º53'00"" W",NA,"",NA,"","1980-1986","","",NA,"known from the Gulf of Mexico on muddy sand and silt-clay sediments at depths of 10-50 meters and from the Gulf of California from fine and silty sands at 28-79 m. This species was collected intertidally in Costa Rica","","","Exclude"
54,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"TRUE","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
55,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
56,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
57,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
58,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
59,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
60,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
61,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
62,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
63,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
64,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
65,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
66,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
67,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
68,"Forwards","Exclude",NA,NA,TRUE,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
69,"Forwards","Exclude",NA,NA,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
70,"Forwards","Include",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Tomales Point","38°14′N","",38.2333,"Paper",-122.965419307808,"R generated","1948","June","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","Include",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Shell Beach","38°25′N","",38.4167,"Paper",-123.107802139271,"R generated","1957","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","Include",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Shell Beach","38°25′N","",38.4167,"Paper",-123.107802139271,"R generated","1970","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","Include",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Saunder's Reef, CA","38°52′N","",38.8667,"Paper",-123.659362687166,"R generated","1984","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","Include",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper",-124.38494674543,"R generated","1995","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","Include",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper",-124.38494674543,"R generated","1996","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","Include",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper",-124.38494674543,"R generated","2005","spring","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
70,"Forwards","Include",NA,NA,NA,"",NA,"","Tetraclita rubescens","","volcano barnacle","species","","Burn Hill, OR","42° 23′N","",42.3833,"Paper",-124.426756003522,"R generated","2007","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)","Include"
71,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
72,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
73,"Forwards","Include",NA,NA,NA,"",NA,"","Atlanta Brunnea","","","species","","Mexican Pacific off the BCP","32º N","110° 00′- 122° 00’ W",32,"Paper figure",-118.5,"Paper figure","2015","September","",NA,"equitorial and south pacific ocean","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2011","Opportunistic","Exclude"
73,"Forwards","Include",NA,NA,NA,"",NA,"","Atlanta echinogyra","","","species","","Mexican Pacific off the BCP","24º N","110° 00′- 122° 00’ W",24,"Paper figure",-115,"Paper figure","2015","September","",NA,"Indo-pacific ","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2012","Opportunistic","Exclude"
73,"Forwards","Include",NA,NA,NA,"",NA,"","Atlanta frontieri","","","species","","Mexican Pacific off the BCP","26º N","110° 00′- 122° 00’ W",26,"Paper figure",-113,"Paper figure","2015","September","",NA,"western pacific and indian ocean and equitorial/tropical southeast pacific, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2013","Opportunistic","Exclude"
73,"Forwards","Include",NA,NA,NA,"",NA,"","Atlanta gibbosa","","","species","","Mexican Pacific off the BCP","24º N","110° 00′- 122° 00’ W",24,"Paper figure",-115,"Paper figure","2015","September","",NA,"equitorial and tropical zones, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2014","Opportunistic","Exclude"
73,"Forwards","Include",NA,NA,NA,"",NA,"","Atlanta helicinoidea","","","species","","Mexican Pacific off the BCP","32º N","110° 00′- 122° 00’ W",32,"Paper figure",-117,"Paper figure","2015","September","",NA,"equitorial and tropical-subtropical zones, used figure four on this paper https://ftp.sccwrp.org/pub/download/DOCUMENTS/WorkPlan/RestrictedJournalArticles/1038_BiogeographyAndGeneticDiversityOfAtlantidHeteropods_DoNotPost.pdf","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2015","Opportunistic","Exclude"
73,"Forwards","Include",NA,NA,NA,"",NA,"","Atlanta plana","","","species","","Mexican Pacific off the BCP","24.5ºN","110° 00′- 122° 00’ W",24.5,"Paper figure",-112.5,"Paper figure","2015","September","",NA,"eastern pacfic and indian ocean and central pacific ocean, used same source as above","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2016","Opportunistic","Exclude"
73,"Forwards","Include",NA,NA,NA,"",NA,"","Atlanta tokiokai","","","species","","Mexican Pacific off the BCP","26ºN","110° 00′- 122° 00’ W",26,"Paper figure",-113,"Paper figure","2015","September","",NA,"tropical and subtropical waters globally","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2017","Opportunistic","Exclude"
73,"Forwards","Include",NA,NA,NA,"",NA,"","Oxygyrus inflatus","","","species","","Mexican Pacific off the BCP","25.5ºN","110° 00′- 122° 00’ W",25.5,"Paper figure",-115,"Paper figure","2015","September","",NA,"tropical and subtropical waters globally","McGowan and Fraundorf 1966; Angulo-Campillo et al. 2018","Opportunistic","Exclude"
74,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
75,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
76,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
77,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
78,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
79,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
80,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
81,"Forwards","Inconclusive",NA,NA,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Inconclusive"
82,"Forwards","Exclude",NA,NA,NA,"TRUE",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
83,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
84,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
85,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","Carcinus maenas","","european green crab","species","This northward range expansion is apparently the result of larval recruitment by a single cohort, corresponding to the predominant northern transport of surface waters and the approximate distance water moves during larval green crab development","At Bodega Harbor, the current northern range limit","","",NA,"",NA,"","1993","January","",NA,"We document the current distribution and range expansion of this species beyond San Francisco Bay, where C. maenas first became established along this coast in 1989-1990,","","","Exclude"
86,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
87,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
88,"Forwards","Exclude",NA,NA,NA,"",TRUE,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
89,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
90,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
91,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
92,"Forwards","Exclude",TRUE,NA,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
93,"Forwards","Exclude",NA,TRUE,NA,"",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
94,"Forwards","Exclude",NA,NA,NA,"TRUE",NA,"","","","","","","","","",NA,"",NA,"","","","",NA,"","","","Exclude"
95,"Forwards","Include",NA,NA,NA,"",NA,"","Dosidicus gigas","","humboldt squid","species","","Monterey Bay, CA","","",36.793978,"Google Maps",-121.793693163778,"R generated","1997","","",NA,"From these warm waters, its historical range extends along the subtropical coasts of both North and South America","","Long-term monitoring site","Include"
95,"Forwards","Include",NA,NA,NA,"",NA,"","Dosidicus gigas","","humboldt squid","species","","Monterey Bay, CA","","",36.793978,"Google Maps",-121.793693163778,"R generated","1998","","",NA,"From these warm waters, its historical range extends along the subtropical coasts of both North and South America","","Long-term monitoring site","Include"
95,"Forwards","Include",NA,NA,NA,"",NA,"","Dosidicus gigas","","humboldt squid","species","","Monterey Bay, CA","","",36.793978,"Google Maps",-121.793693163778,"R generated","1999","","",NA,"From these warm waters, its historical range extends along the subtropical coasts of both North and South America","","Long-term monitoring site","Include"
95,"Forwards","Include",NA,NA,NA,"",NA,"","Dosidicus gigas","","humboldt squid","species","","Monterey Bay, CA","","",36.793978,"Google Maps",-121.793693163778,"R generated","2000","","",NA,"From these warm waters, its historical range extends along the subtropical coasts of both North and South America","","Long-term monitoring site","Include"
