"paper_id","forward_backward","screener_initials","include_exclude","inconclusive_note","exclude_t0_calcofi_report","exclude_t1_not_marine_species","exclude_t2_outdated_pre1900","exclude_t3_not_poleward","exclude_t3_not_in_california","latin_name","species_reference","common_name","taxonomic_rank","life_stage_verbatim","observation_location_verbatim","latitude_verbatim","longitude_verbatim","latitude","latitude_reference","longitude","longitude_reference","year","month","day","time","historical_north_range_verbatim_archived","historical_north_range_reference_archived","screening_notes","extension_confidence_criteria"
21,"Forwards","EJW","Exclude","These are in Baja only - JKS",NA,NA,NA,NA,TRUE,"Microphrys platysoma","Stimpson, 1860","","Species","1 male, 3 females (1 ovigerous)","Puertecitos. BC","","",NA,"",NA,"","1986","May-June","",NA,"about 135 km north of its previous northernmost limit along the east coast of the BC peninsula, From Puerto Penasco, SON, and Peurto Refugio, Angel de la Guarda Island, BC, GC, Mexico, to Santa Elena Point, Ecuador, including Socorro Island (Garth 1958, Vogel 1966)","Garth, J.S. 1958. Brachyura of the Pacific coast of America. Oxyrhyncha. Allan Hancock Pac. Exped., 21:1-854, Vogel, B. R. 1966. A report on a collection of crabs from the Gulf of California. Southwest. Nat., 11(1):139-140","",""
21,"Forwards","EJW","Exclude","These are in Baja only - JKS",NA,NA,NA,NA,TRUE,"Eriphia squamata","Stimpson, 1859","","Species","1 female","La Bajada Beach, Tortugas Bay, BCS","","",NA,"",NA,"","1993","October","15",NA,"about 370 km north of its previous northernmost limit on the west coast of the BC peninsula, From Puerto Penasco, SON, and San Felipe, BC, GC, Mexico, to Las Vacas near Capon, Peru; west coast of BC peninsula to San Juanico Bay, BCS","Garth, J.S. 1958. Brachyura of the Pacific coast of America. Oxyrhyncha. Allan Hancock Pac. Exped., 21:1-854, Garth, J.S. 1960. Distribution and affinities of the brachyuran Crustacea. (Symposium: The biogeography of Baja California and adjacent sea. Part II. Marine biotas.) Syst. Zool., 9:105-123.","",""
21,"Forwards","EJW","Exclude","These are in Baja only - JKS",NA,NA,NA,NA,TRUE,"Xanthodius sternberghii","Stimpson, 1859","","Species","2 males, 2 females","San Felipe and vicinity, BC","","",NA,"",NA,"","1988-1995","","",NA,"about 600 km north along the east coast of the BC peninsula, From Puerto Lobos, Guaymas, SON, and Mulege, BCS, GC, to Isla Maria Madre, off Nayarit, and west coast of BC peninsula to Magdalena Bay, BCS, Mexico","Villalobos-Hiriat et al., 1989. Listados Faunisticos de Mexico. I. Crustaceos estomato-podos y decapodos intermareales de las islas del Golfo de California, Mexico. Inst. de Biologia, Univ. Nacional Autonoma de Mexico, 114 pp. Hendrickx, M.E. 1995. Checklist of brachyuran crabs (Crustacea Decapoda) from the eastern tropical Pacific. Bull. Inst. Roy. Sci. Nat. Belgique (Biologie), 65: 125-150","",""
21,"Forwards","EJW","Exclude","These are in Baja only - JKS",NA,NA,NA,NA,TRUE,"Xanthodius sternberghii","Stimpson, 1859","","Species","2 males, 3 females","Puertecitos. BC","","",NA,"",NA,"","1989","July-September","",NA,"about 600 km north along the east coast of the BC peninsula, From Puerto Lobos, Guaymas, SON, and Mulege, BCS, GC, to Isla Maria Madre, off Nayarit, and west coast of BC peninsula to Magdalena Bay, BCS, Mexico","Villalobos-Hiriat et al., 1989. Listados Faunisticos de Mexico. I. Crustaceos estomato-podos y decapodos intermareales de las islas del Golfo de California, Mexico. Inst. de Biologia, Univ. Nacional Autonoma de Mexico, 114 pp. Hendrickx, M.E. 1995. Checklist of brachyuran crabs (Crustacea Decapoda) from the eastern tropical Pacific. Bull. Inst. Roy. Sci. Nat. Belgique (Biologie), 65: 125-150","",""
21,"Forwards","EJW","Exclude","These are in Baja only - JKS",NA,NA,NA,NA,TRUE,"Uca princeps princeps","Smith, 1870","","Species","10 males, 10 females","Laguna Percebu, San Felipe, BC","","",NA,"",NA,"","1995","July-August","",NA,"about 390 km north of its previous northernmost limit in the GC, From Rasa Island (GC) and west coast of BC peninsula at Tortugas Bay, BCS (= Bartolome Bay), Mexico, to Zamurilla River, Peru","Crane, J. 1975, Fiddler Crabs of the World. Ocypodidae: Genus Uca. Princeton Univ. Press, Princeton, New Jersey, 736 pp., Villalobos-Hiriat et al., 1989. Listados Faunisticos de Mexico. I. Crustaceos estomato-podos y decapodos intermareales de las islas del Golfo de California, Mexico. Inst. de Biologia, Univ. Nacional Autonoma de Mexico, 114 pp. Hendrickx, M.E. 1995. Checklist of brachyuran crabs (Crustacea Decapoda) from the eastern tropical Pacific. Bull. Inst. Roy. Sci. Nat. Belgique (Biologie), 65: 125-150","",""
21,"Forwards","EJW","Exclude","These are in Baja only - JKS",NA,NA,NA,NA,TRUE,"Euphylax robustus","A. Milne-Edwards, 1874","","Species","1 male, La Bajada Beach, Tortugas Bay, BCS","Laguna Percebu, San Felipe, BC","","",NA,"",NA,"","1993","October","",NA,"first record of this species on the west coast of the BC peninsula, From Santa Clara, SON (GC), Mexico, to Paita, Peru","Garth, J.S. and Stephenson, W., 1966. Brachyura of the Pacific coast of America. Brachyrhyncha: Portunidae. Allan Hancock Monog. Mar. Biol., 1:1-154., Brusca, R.C. 1980. Common Intertidal Invertebrates of the Gulf of California. Univ. Arizona Press, Tucson, 513 pp.","",""
22,"Forwards","BGL","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
23,"Forwards","TVT","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
24,"Forwards","TVT","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
25,"Forwards","TVT","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
26,"Forwards","TVT","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
27,"Forwards","TVT","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
28,"Forwards","TVT","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
29,"Forwards","EJW","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
30,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
31,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
32,"Forwards","EJW","Exclude","These are in Baja only - JKS",NA,NA,NA,NA,TRUE,"Atlanta oligogyra","Tesch, 1906","","Species","shell","~ 31 degrees north (IPN-CICIMAR, BIPOCO1407 sta. 103.3.40; 30 degrees 46' 51.5634""N, 117 degrees 4' 40.8""W","30 degrees 46' 51.5634""N","117 degrees 4' 40.8""W",NA,"",NA,"","","","",NA,"northernmost records in the east Pacific for this species before this study was in the Gulf of Tehuantepec (Moreno-Alcantara et al. 2014) and Gulf of California (Angulo-Campillo et al. 2011), Mexico., Cosmopolitan in tropical to subtropical waters, to 31 degrees north in the Pacific. Common to abundant.","Moreno-Alcantara et al. 2014. Holoplanktonic molluscs (Gastropoda: Pterotracheoidea, Thecosomata and Gymnosomata) from the southern Mexican Pacific. Journal of Molluscan Studies, 80, 131-138., Angulo-Campillo et al. 2011. Holoplanktonic mollusks (Mollusca: Gastropoda) from the Gulf of California, Mexico, Check List, 7, 337-342.","",""
32,"Forwards","EJW","Inconclusive","no date - JKS",NA,NA,NA,NA,NA,"Protatlanta souleyeti","Smith, 1888","","Species","shell","the specimen used to determine this range extension was recorded off Oregon, USA (USNM 331110). Several specimens were observed in samples from off Baja California Peninsula (IPN-CICIMAR BIPOCO1407 cruise","","",NA,"",NA,"","","","",NA,"northernmost records in the east Pacific for this species before this study was in the Gulf of tehuantepec (Moreno-Alcantara et al. 2014) and Gulf of California (angulo-Campillo et al. 2011), Mexico. Cosmopolitan in tropical to subtropical waters, to ~46 degrees N, in the east Pacific. Uncommon.","Moreno-Alcantara et al. 2014. Angulo-Campillo et al. 2011.","",""
33,"Forwards","EJW","Inconclusive","can't find paper; I think the data was included in sanford et al 2019 - JKS",NA,NA,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
34,"Forwards","EJW","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
35,"Forwards","EJW","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
36,"Forwards","EJW","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
37,"Forwards","EJW","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","While this paper says that poleward expansions have possibly occured in the distributions of the species it covers, it also discusses that these are rarely observed species found to be spreading/introduced throughout the world's oceans and that some of the species previously believed to be invasives from elsewhere are in fact endemic species that were previously undiscribed, I would leave this paper out because it is underterminable from the evidence provided in this paper whether any true range extension into or out of California has occured. ",""
38,"Forwards","EJW","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
39,"Forwards","EJW","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
40,"Forwards","AF","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
41,"Forwards","AF","Inconclusive","Cites Pearcy 2002 as ref for range shift; use that paper instead",NA,NA,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
42,"Forwards","AF","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
43,"Forwards","AF","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
44,"Forwards","AF","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
45,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
46,"Forwards","JKS","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","La Jolla","31.87","",31.87,"Paper",-114.920613833209,"R generated","1957","June-July, October, December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1958","April","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","San Pedro","33.8","",33.8,"Paper",-118.405260650672,"R generated","1959","January-March, December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1960","January ","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1969","December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1970","January-March ","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1972","December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Monterey","36.6","",36.6,"Paper",-121.964029292987,"R generated","1973","January-March ","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Santa Cruz Island","34","",34,"Paper",-120.247171429253,"R generated","1979","April","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Point Dume","34","",34,"Paper",-120.247171429253,"R generated","1980","February","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper",-119.566956960394,"R generated","1982","December","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper",-119.566956960394,"R generated","1983","July","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","San Nicolas Island","33.25","",33.25,"Paper",-119.566956960394,"R generated","1983","July","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Duxbury Reef","37.902138","",37.902138,"Paper",-122.722987753551,"R generated","1985","January","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","Monterey Bay","36.6","",36.6,"Paper",-121.964029292987,"R generated","1997","","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
47,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Pleuroncodes planipes","","pelagic red crab","Species","","off California","","",32.55,"Google Maps",-117.128359408246,"R generated","2002","","",NA,"southwest coast of the Baja California peninsula","","the exact locations/date included in the publication for each of these is in the dataset associated with this paper. Also, There may be a way to track down the specific reference for each of these findinds and the associated life stage.","Long-term monitoring site"
48,"Forwards","JKS","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
49,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
50,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
51,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
52,"Forwards","EJW","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
53,"Forwards","EJW","Exclude","see screening note",NA,NA,NA,TRUE,TRUE,"Neanthes micromma","Harper 1979","","Species","","Gulf of Nicoya, subtidal: STA 2; 9º55'28"" N, 84º52'05"" W, 18 m, muddy sand, Jan. 1980 (1); STA 4; 9º53'40"" N, 84º46'10"" W, 40 m, mud, Jul. 1980 (1); STA 24; 9º49'25"" N, 84º41'20"" W, 11 m, sand, Oct. 1980 (12), Jan. 1981 (2), Apr. 1981 (2), Jun. 1981 (2), Aug. 1981 (3), Dec. 1993 (3); STA 27; 9º51'57"" N, 84º50'50"" W, 12 m, muddy sand, Jul. 1980 (1); STA 28; 9º52'16"" N, 84º45'30"" W, 26 m, mud, Aug. 1981 (1), Apr. 1982 (1); STA 29; 9º54'55"" N, 84º45'15"" W, 18 m, muddy sand, Aug. 1981 (1); STA 30; 9º54'40"" N, 84º45'50"" W, 18 m, muddy sand, Oct. 1980 (2); STA 44; 9º59'17"" N, 84º54'25"" W, 24m, muddy sand, Jul. 1980 (1). Intertidal: Punta Morales, 10º N; 84º58' W, north side; intertidal mud, Sep. 1988 (1), Jul. 1997 (19); intertidal sand Jul. 1997 (9); man-grove roots, Jan. 1996 (1): Punta Morales, south side; mid-intertidal muddy sand Jun. 1983 (1), Jun. 1986 (1); Lagartos Point, fine sand Sep. 1988 (1); soupy mud Jul. 1997 (10); Algal mat, tidal pool, Sep. 1988 (1). Golfo Dulce, Intertidal: Golfito, mid-intertidal mud Sep. 1986 (1).","9º57'30"" N","84º53'00"" W",NA,"",NA,"","1980-1986","","",NA,"known from the Gulf of Mexico on muddy sand and silt-clay sediments at depths of 10-50 meters and from the Gulf of California from fine and silty sands at 28-79 m. This species was collected intertidally in Costa Rica","","southward range extension not northward!!!, also another species was observed for the first time near here but it was only the seccond time the species had been recorded so hard to say anything about its range",""
54,"Forwards","EJW","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
55,"Forwards","EJW","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
56,"Forwards","EJW","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
57,"Forwards","EJW","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
58,"Forwards","EJW","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
59,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
60,"Forwards","EJW","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
61,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
62,"Forwards","JKS","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
63,"Forwards","JKS","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
64,"Forwards","JKS","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
65,"Forwards","JKS","Exclude","",NA,NA,TRUE,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
66,"Forwards","BGL","Exclude","",NA,NA,NA,TRUE,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
67,"Forwards","BGL","Exclude","",NA,TRUE,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
68,"Forwards","BGL","Exclude","",NA,NA,NA,NA,TRUE,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
69,"Forwards","BGL","Exclude","",NA,NA,NA,NA,NA,"","","","","","","","",NA,"",NA,"","","","",NA,"","","",""
70,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Tetraclita rubescens","","volcano barnacle","species","","Tomales Point","38°14′N","",38.2333,"Paper",-122.965419307808,"R generated","1948","June","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)"
70,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Tetraclita rubescens","","volcano barnacle","species","","Shell Beach","38°25′N","",38.4167,"Paper",-123.107802139271,"R generated","1957","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)"
70,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Tetraclita rubescens","","volcano barnacle","species","","Shell Beach","38°25′N","",38.4167,"Paper",-123.107802139271,"R generated","1970","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)"
70,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Tetraclita rubescens","","volcano barnacle","species","","Saunder's Reef, CA","38°52′N","",38.8667,"Paper",-123.659362687166,"R generated","1984","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)"
70,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper",-124.38494674543,"R generated","1995","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)"
70,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper",-124.38494674543,"R generated","1996","","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)"
70,"Forwards","JKS","Include","",NA,NA,NA,NA,NA,"Tetraclita rubescens","","volcano barnacle","species","","Cape Mendocino, CA","40°24′N","",40.4,"Paper",-124.38494674543,"R generated","2005","spring","",NA,"San Francisco Bay in CA, USA (37°30′N)","Newman & Abbott 1980","latitude is noted abundance peaks, not whole range, see linked graph for that","Opportunistic+ (e.g. iNaturalist observation in a frequently studied area)"
