"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"655FCELX","journalArticle","2017","Andrade, Luiz F.; Senna, André R.","Two new species of Ampithoidae (Crustacea: Amphipoda) from northeastern Brazil","Zootaxa","","1175-5334, 1175-5326","10.11646/zootaxa.4282.3.4","https://www.mapress.com/zt/article/view/zootaxa.4282.3.4","Two new species of the family Ampithoidae Stebbing, 1899 are described from northeastern Brazilian waters. The newly described species belong to the genera Ampithoe Leach, 1814 and Cymadusa Savigny, 1816. Ampithoe robustimana sp. nov. is characterized by: gnathopod 1 propodus elongated, robust and subrectangular, palm almost transverse with a mid-palmar subquadrate tooth; gnathopod 2 propodus elongated, robust and subrectangular, palm almost transverse. Cymadusa ygara sp. nov. is established based on a unique female holotype and is characterized by: antenna 1 accessory flagellum 2-articulate; gnathopod 2 palm slightly concave with a stout setae defining palm; coxae 2–5 bilobate. The examined material of Ampithoe robustimana sp. nov. was collected at Pacheco beach, municipality of Caucaia, Ceará state, while type material of Cymadusa ygara sp. nov. is from Icapuí beach, also in Ceará state.","2017-06-27","2025-02-21 22:44:13","2025-02-21 22:44:13","2025-02-21 22:44:13","","","3","4282","","Zootaxa","Two new species of Ampithoidae (Crustacea","","","","","","","","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KU6UFYAG","journalArticle","2010","Montelli, Luciana","The recent geographical expansion of Caprella californica (Caprellidea: Caprellidae) around the coastline of Australia","Biological Invasions","","1387-3547, 1573-1464","10.1007/s10530-009-9484-6","http://link.springer.com/10.1007/s10530-009-9484-6","","2010-04","2025-02-21 22:44:14","2025-02-21 22:44:14","2025-02-21 22:44:14","725-728","","4","12","","Biol Invasions","The recent geographical expansion of Caprella californica (Caprellidea","","","","","","","en","http://www.springer.com/tdm","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8ESCAW6P","journalArticle","2018","Jurgens, Laura","Poleward range expansion of a non-indigenous bryozoan and new occurrences of exotic ascidians in southeast Alaska","BioInvasions Records","","22421300","10.3391/bir.2018.7.4.02","http://www.reabic.net/journals/bir/2018/Issue4.aspx","","2018","2025-02-21 22:44:15","2025-02-21 22:44:15","2025-02-21 22:44:15","357-366","","4","7","","BIR","","","","","","","","","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/9RK44IEQ/Poleward range expansion of a non-indigenous bryoz - Jurgens - 2018.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PRKSXV8M","journalArticle","2015","Tomašových, Adam; Jablonski, David; Berke, Sarah K.; Krug, Andrew Z.; Valentine, James W.","Nonlinear thermal gradients shape broad‐scale patterns in geographic range size and can reverse <span style=""font-variant:small-caps;"">R</span> apoport's rule","Global Ecology and Biogeography","","1466-822X, 1466-8238","10.1111/geb.12242","https://onlinelibrary.wiley.com/doi/10.1111/geb.12242","Abstract                            Aim                                Species living at latitudes that have greater annual temperature variations are expected to achieve broader geographic ranges than species living at latitudes that have smaller annual temperature variations, generating a positive relationship between range size and latitude (                 R                 apoport's rule). However, this prediction fails to take into account the greater latitudinal extent of tropical temperatures relative to those at higher latitudes. Here we model the contributions of the broader latitudinal extent of equal‐temperature habitats at low latitudes and the greater annual temperature variation at high latitudes to the range size–latitude relationship, and test whether the latitudinal variation in geographic range size in marine bivalves can be explained by models that account for both annual temperature variation and the steepness of latitudinal thermal gradients.                                                        Location                                W                 estern                 P                 acific, eastern                 P                 acific and western                 A                 tlantic.                                                        Methods               We use a null model where geographic ranges are placed on the ocean surface independently of thermal gradients, and a range‐expansion model where the minimum and maximum temperatures encompassed by the geographic range of a species (macroecological thermal ranges) are positively related to annual temperature minima and maxima at the location where the species originated. We compare results with a database containing 40,820 occurrences of 4760 marine bivalve species.                                         Result                                Models incorporating temperature‐limited range expansion along realistic thermal gradients predict an inverse relationship between range size and latitude, in opposition to                 R                 apoport's rule. The distribution patterns of marine bivalves match this prediction.                                                        Main conclusions               The poleward trend in latitudinal range size is determined by the nonlinearity of the latitudinal gradient of temperature minima and maxima and less by the latitudinal gradient of the local seasonal range in temperatures. Although tropical species do have narrower macroecological thermal ranges than high‐latitude species, the nearly constant temperatures over wide areas of the tropics allow tropical species to achieve broad latitudinal ranges.","2015-02","2025-02-21 22:44:17","2025-02-21 22:44:17","2025-02-21 22:44:17","157-167","","2","24","","Global Ecology and Biogeography","Nonlinear thermal gradients shape broad‐scale patterns in geographic range size and can reverse <span style=""font-variant","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4TWZLITZ","journalArticle","2008","Ashton, Gail V.; Stevens, Mark I.; Hart, Mark C.; Green, David H.; Burrows, Michael T.; Cook, Elizabeth J.; Willis, Kate J.","Mitochondrial DNA reveals multiple Northern Hemisphere introductions of <i>Caprella mutica</i> (Crustacea, Amphipoda)","Molecular Ecology","","0962-1083, 1365-294X","10.1111/j.1365-294X.2007.03668.x","https://onlinelibrary.wiley.com/doi/10.1111/j.1365-294X.2007.03668.x","Abstract                            Caprella mutica               (Crustacea, Amphipoda) has been widely introduced to non‐native regions in the last 40 years. Its native habitat is sub‐boreal northeast Asia, but in the Northern Hemisphere, it is now found on both coasts of North America, and North Atlantic coastlines of Europe. Direct sequencing of mitochondrial DNA (cytochrome               c               oxidase subunit I gene) was used to compare genetic variation in native and non‐native populations of               C. mutica               . These data were used to investigate the invasion history of               C. mutica               and to test potential source populations in Japan. High diversity (31 haplotypes from 49 individuals), but no phylogeographical structure, was identified in four populations in the putative native range. In contrast, non‐native populations showed reduced genetic diversity (7 haplotypes from 249 individuals) and informative phylogeographical structure. Grouping of               C. mutica               populations into native, east Pacific, and Atlantic groups explained the most among‐region variation (59%). This indicates independent introduction pathways for               C. mutica               to the Pacific and Atlantic coasts of North America. Two dominant haplotypes were identified in eastern and western Atlantic coastal populations, indicating several dispersal routes within the Atlantic. The analysis indicated that several introductions from multiple sources were likely to be responsible for the observed global distribution of               C. mutica               , but the pathways were least well defined among the Atlantic populations. The four sampled populations of               C. mutica               in Japan could not be identified as the direct source of the non‐native populations examined in this study. The high diversity within the Japan populations indicates that the native range needs to be assessed at a far greater scale, both within and among populations, to accurately assess the source of the global spread of               C. mutica               .","2008-03","2025-02-21 22:44:18","2025-02-21 22:44:18","2025-02-21 22:44:18","1293-1303","","5","17","","Molecular Ecology","","","","","","","","en","http://onlinelibrary.wiley.com/termsAndConditions#vor","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GZ6NSW6D","journalArticle","2010","Ruiz-Cooley, Ri; Villa, Ec; Gould, Wr","Ontogenetic variation of δ13C and δ15N recorded in the gladius of the jumbo squid Dosidicus gigas: geographic differences","Marine Ecology Progress Series","","0171-8630, 1616-1599","10.3354/meps08383","http://www.int-res.com/abstracts/meps/v399/p187-198/","","2010-01-28","2025-02-21 22:44:19","2025-02-21 22:44:19","2025-02-21 22:44:19","187-198","","","399","","Mar. Ecol. Prog. Ser.","Ontogenetic variation of δ13C and δ15N recorded in the gladius of the jumbo squid Dosidicus gigas","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"44Z864F6","journalArticle","2021","Coletti, Heather A.; Bowen, Lizabeth; Ballachey, Brenda E.; Wilson, Tammy L.; Waters, Shannon; Booz, Michael; Counihan, Katrina L.; Hollmen, Tuula E.; Pister, Benjamin","Gene Expression Profiles in Two Razor Clam Populations: Discerning Drivers of Population Status","Life","","2075-1729","10.3390/life11121288","https://www.mdpi.com/2075-1729/11/12/1288","With rapidly changing marine ecosystems, shifts in abundance and distribution are being documented for a variety of intertidal species. We examined two adjacent populations of Pacific razor clams (Siliqua patula) in lower Cook Inlet, Alaska. One population (east) supported a sport and personal use fishery, but this has been closed since 2015 due to declines in abundance, and the second population (west) continues to support commercial and sport fisheries. We used gene expression to investigate potential causes of the east side decline, comparing razor clam physiological responses between east and west Cook Inlet. The target gene profile used was developed for razor clam populations in Alaska based on physiological responses to environmental stressors. In this study, we identified no differences of gene expression between east and west populations, leading to two potential conclusions: (1) differences in factors capable of influencing physiology exist between the east and west and are sufficient to influence razor clam populations but are not detected by the genes in our panel, or (2) physiological processes do not account for the differences in abundance, and other factors such as predation or changes in habitat may be impacting the east Cook Inlet population.","2021-11-24","2025-02-21 22:44:20","2025-02-21 22:44:20","2025-02-21 22:44:20","1288","","12","11","","Life","Gene Expression Profiles in Two Razor Clam Populations","","","","","","","en","https://creativecommons.org/licenses/by/4.0/","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/NATBCCNC/Gene Expression Profiles in Two Razor Clam Populat - Coletti et al. - 2021.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"YC5XPA6U","bookSection","2017","Smith, Tyler B.; Maté, Juan L.; Gyory, Joanna","Thermal Refuges and Refugia for Stony Corals in the Eastern Tropical Pacific","Coral Reefs of the Eastern Tropical Pacific","978-94-017-7498-7 978-94-017-7499-4","","","http://link.springer.com/10.1007/978-94-017-7499-4_17","","2017","2025-02-21 22:44:23","2025-02-21 22:44:23","2025-02-21 22:44:23","501-515","","","8","","","","","","","","Springer Netherlands","Dordrecht","","","","","","DOI.org (Crossref)","","Series Title: Coral Reefs of the World DOI: 10.1007/978-94-017-7499-4_17","","","","","","Glynn, Peter W.; Manzello, Derek P.; Enochs, Ian C.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NT4E2LJA","journalArticle","2021","Barrett, Christopher J.; MacLeod, Eleanor; Oesterwind, Daniel; Laptikhovsky, Vladimir","Ommastrephid squid spawning in the North Sea: oceanography, climate change and species range expansion","Scientia Marina","","1886-8134, 0214-8358","10.3989/scimar.05065.005","https://scientiamarina.revistas.csic.es/index.php/scientiamarina/article/view/1891","The lesser flying squid (Todaropsis eblanae) and the shortfin squid (Illex coindetii) are two abundant ommastrephids of the northeast Atlantic. Spawning ground existence was inferred from the captures of mature, mated females in summer 2016–2019 and their occurrences were compared with respective oceanographic data from international surveys to gain insight into environmental predictors of their presence throughout the North Sea. Spawning T. eblanae were found in relatively cooler and more saline waters (6–8°C, 34.2–35.1 psu) in the northern North Sea linked to the Fair Isle Current and East Shetland Atlantic Inflow, whilst spawning I. coindetii occurred across the entire North Sea (mostly at 9–10.5°C, 34.1–34.8 psu). We hypothesize that a combination of water salinity and water temperature are key factors in the spatiotemporal distribution of spawning ommastrephid squids as they define water density that is crucial for pelagic egg mass to attain neutral buoyancy.","2021-04-20","2025-02-21 22:44:24","2025-02-21 22:44:24","2025-02-21 22:44:24","49-56","","1","85","","Sci. mar.","Ommastrephid squid spawning in the North Sea","","","","","","","","https://creativecommons.org/licenses/by/4.0","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/IM4CTY2Z/Ommastrephid squid spawning in the North Sea ocea - Barrett et al. - 2021.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"D824DKW7","journalArticle","2020","Portner, Elan J.; Markaida, Unai; Robinson, Carlos J.; Gilly, William F.","Trophic ecology of Humboldt squid, <i>Dosidicus gigas</i> , in conjunction with body size and climatic variability in the Gulf of California, Mexico","Limnology and Oceanography","","0024-3590, 1939-5590","10.1002/lno.11343","https://aslopubs.onlinelibrary.wiley.com/doi/10.1002/lno.11343","Abstract                            Over the past two decades, the Gulf of California (GOC) has experienced three strong El Niño events (1997–1998, 2009–2010, and 2015–2016), each of which was followed by a drastic reduction in mantle length of mature Humboldt squid,               Dosidicus gigas               (from >60 cm to <20 cm). However, it is unclear how the oceanographic changes associated with strong El Niño events affected the midwater organisms on which               D. gigas               feed, limiting our ability to assess the relative importance of temperature and food availability in the phenotypic response of               D. gigas               to environmental variability. We quantified the diet of               D. gigas               in the GOC before, during, and following the past three El Niño events and found that although its diet varied little across a large range of body sizes (8–85 cm), significant and predictable diet variability was observed with respect to sea surface temperature and chlorophyll‐a concentration. Consumption of large numbers of relatively small, high calorie prey in both relatively cool (anchovies) and relatively warm, productive conditions (myctophids) is likely necessary to support growth to large body sizes before maturation. When warm, unproductive conditions prevailed in the GOC, only small squid were present and had diets dominated by euphausiids and pteropods, prey with relatively low caloric value. Using a time series of diet data, this work provides unique insights into the response of a midwater forage community to oceanographic variability and the effects of environmental variability on the trophic ecology of an oceanic predator.","2020-04","2025-02-21 22:44:28","2025-02-21 22:44:28","2025-02-21 22:44:28","732-748","","4","65","","Limnology & Oceanography","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/J7MEKM4Y/Trophic ecology of Humboldt squid, Dosidicus gi - Portner et al. - 2020.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K4HGM4M4","journalArticle","2011","Galland, Grantly R.","Comments on Microhabitat Specialization and a Depth Range Extension for a Chaenopsid Tube Blenny in the Gulf of California, Mexico","Bulletin, Southern California Academy of Sciences","","0038-3872","10.3160/1000.1","http://www.bioone.org/doi/abs/10.3160/1000.1","","2011-08","2025-02-21 22:44:29","2025-02-21 22:44:29","2025-02-21 22:44:29","52-55","","2","110","","Bulletin, Southern California Academy of Sciences","","","","","","","","en","","","","","DOI.org (Crossref)","","","","/Users/jordanasevigny/Zotero/storage/VI8Z9JD6/Comments on Microhabitat Specialization and a Dept - Galland - 2011.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DU549RKB","journalArticle","2018","Shelton, Andrew O.; Harvey, Chris J.; Samhouri, Jameal F.; Andrews, Kelly S.; Feist, Blake E.; Frick, Kinsey E.; Tolimieri, Nick; Williams, Gregory D.; Antrim, Liam D.; Berry, Helen D.","From the predictable to the unexpected: kelp forest and benthic invertebrate community dynamics following decades of sea otter expansion","Oecologia","","0029-8549, 1432-1939","10.1007/s00442-018-4263-7","http://link.springer.com/10.1007/s00442-018-4263-7","","2018-12","2025-02-21 22:44:43","2025-02-21 22:44:43","2025-02-21 22:44:43","1105-1119","","4","188","","Oecologia","From the predictable to the unexpected","","","","","","","en","","","","","DOI.org (Crossref)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
